fips,state_name,county_name,month,haz_days
42095,Pennsylvania,Northampton,7,1.0
36081,New York,Queens,5,1.0
42095,Pennsylvania,Northampton,11,1.0
21101,Kentucky,Henderson,3,1.0
56005,Wyoming,Campbell,9,1.0
49011,Utah,Davis,9,1.0
18005,Indiana,Bartholomew,6,1.0
49013,Utah,Duchesne,1,1.0
39095,Ohio,Lucas,5,1.0
42003,Pennsylvania,Allegheny,4,1.0
42071,Pennsylvania,Lancaster,6,0.8
26163,Michigan,Wayne,8,0.8
06013,California,Contra Costa,6,0.8
01117,Alabama,Shelby,9,0.8
39003,Ohio,Allen,5,0.8
48361,Texas,Orange,10,0.8
34013,New Jersey,Essex,6,0.8
42071,Pennsylvania,Lancaster,9,0.8
44003,Rhode Island,Kent,7,0.8
48139,Texas,Ellis,8,0.8
42071,Pennsylvania,Lancaster,2,0.8
51013,Virginia,Arlington,9,0.8
39095,Ohio,Lucas,6,0.8
36013,New York,Chautauqua,6,0.8
39151,Ohio,Stark,5,0.8
55079,Wisconsin,Milwaukee,7,0.8
49011,Utah,Davis,12,0.8
42069,Pennsylvania,Lackawanna,5,0.8
42003,Pennsylvania,Allegheny,2,0.8
04012,Arizona,La Paz,4,0.8
06023,California,Humboldt,11,0.8
42007,Pennsylvania,Beaver,5,0.8
18127,Indiana,Porter,8,0.8
42011,Pennsylvania,Berks,2,0.8
39003,Ohio,Allen,6,0.8
08067,Colorado,La Plata,5,0.8
06081,California,San Mateo,9,0.8
36103,New York,Suffolk,9,0.8
34007,New Jersey,Camden,8,0.8
06101,California,Sutter,11,0.8
08069,Colorado,Larimer,9,0.8
22033,Louisiana,East Baton Rouge,8,0.8
20209,Kansas,Wyandotte,7,0.8
33015,New Hampshire,Rockingham,7,0.8
48029,Texas,Bexar,7,0.8
13021,Georgia,Bibb,6,0.8
06079,California,San Luis Obispo,10,0.8
47157,Tennessee,Shelby,9,0.8
06061,California,Placer,11,0.8
48349,Texas,Navarro,11,0.8
18089,Indiana,Lake,5,0.8
48245,Texas,Jefferson,9,0.8
48349,Texas,Navarro,10,0.8
54009,West Virginia,Brooke,4,0.8
48349,Texas,Navarro,6,0.8
06055,California,Napa,9,0.8
38057,North Dakota,Mercer,6,0.8
38057,North Dakota,Mercer,7,0.8
06095,California,Solano,10,0.8
51087,Virginia,Henrico,7,0.8
06019,California,Fresno,2,0.8
48245,Texas,Jefferson,10,0.8
18003,Indiana,Allen,6,0.8
49013,Utah,Duchesne,8,0.8
36081,New York,Queens,8,0.8
06079,California,San Luis Obispo,7,0.8
39035,Ohio,Cuyahoga,4,0.8
38105,North Dakota,Williams,7,0.8
44007,Rhode Island,Providence,6,0.8
42007,Pennsylvania,Beaver,9,0.8
06111,California,Ventura,10,0.8
48453,Texas,Travis,5,0.8
29510,Missouri,St Louis City,8,0.8
51013,Virginia,Arlington,6,0.8
47037,Tennessee,Davidson,6,0.8
30087,Montana,Rosebud,6,0.8
37087,North Carolina,Haywood,10,0.8
06023,California,Humboldt,9,0.8
45045,South Carolina,Greenville,11,0.8
46103,South Dakota,Pennington,9,0.8
06059,California,Orange,2,0.8
18003,Indiana,Allen,5,0.8
22019,Louisiana,Calcasieu,4,0.8
19163,Iowa,Scott,6,0.8
30031,Montana,Gallatin,9,0.8
17031,Illinois,Cook,9,0.8
